year,date,time,latitude,longitude,depth,surface_wave_magnitude,abe_magnitude,intensity,max_height,moment_magnitude,available_observations,damage_code,cause,validity,warning_status,region_code,basic_reference,source_region
1894,27 Apr,19:40:00,38.7,23.0,N/A,7.0,N/A,2.0,N/A,4.0,0,M,E,4,N/A,MED,SO1,North Evoikov Gulf
1894,10 Jul,18:33:00,40.0,29.0,N/A,6.6,N/A,2.0,N/A,3.0,0,0,E,3,N/A,MED,PAP,"Constantinopol, Marmara Sea"
1894,22 Oct,08:35:00,38.9,139.8,40,7.0,N/A,N/A,N/A,-1.0,0,M,E,4,N/A,JAP,IID,"NW.Yamagata Pref., Japan"
1894,16 Nov,18:52:00,38.25,15.9,N/A,6.0,N/A,2.0,N/A,3.0,0,0,E,4,N/A,MED,GTC,Tyrrhenian Calabria
1894,21 Nov,00:00:00,49.0,-34.5,N/A,6.5,N/A,2.0,N/A,N/A,0,0,V,3,N/A,NEA,BR4,Waves at west coast of Ireland
1894,27 Dec,07:00:00,38.6,14.5,N/A,N/A,N/A,N/A,N/A,N/A,0,0,V,0,N/A,MED,SO1,N/A
1895,20 Jan,18:07:00,38.28,15.8,25,4.1,N/A,2.0,N/A,3.0,0,0,U,1,N/A,MED,SO1,N/A
1895,28 Jan,00:00:00,20.0,-155.0,N/A,N/A,N/A,N/A,N/A,N/A,1,0,M,1,N/A,HAW,LLO,HAWAII
1895,06 Mar,18:25:00,-8.5,150.0,N/A,7.5,N/A,2.0,6.0,2.0,3,M,E,3,N/A,NGS,EV1,E.Solomon Sea
1895,30 Mar,00:00:00,34.0,-120.5,N/A,N/A,N/A,N/A,N/A,N/A,1,0,EL,2,N/A,CAM,LLK,S. CALIFORNIA
1895,01 Sep,11:09:00,40.7,-74.8,N/A,5.0,N/A,1.0,N/A,N/A,0,0,E,3,N/A,NWA,LWL,"Long Island, New York"
1895,14 Oct,00:00:00,38.0,-122.0,N/A,N/A,N/A,N/A,N/A,N/A,1,0,M,0,N/A,CAM,LLK,N.California
1895,01 Nov,00:00:00,41.7,12.2,N/A,N/A,N/A,2.0,N/A,3.0,0,0,E,1,N/A,MED,SO1,N/A
1896,30 Nov,00:00:00,62.5,-19.5,N/A,N/A,N/A,1.0,N/A,N/A,0,0,U,2,N/A,NAT,WWT,Iceland
1896,09 Jan,13:17:00,36.5,141.0,80,7.2,7.3,-2.0,0.28,N/A,1,N,E,4,N/A,JAP,IID,Kashimanada. Japan
1896,06 Feb,13:00:00,17.8,-78.8,N/A,N/A,N/A,1.0,N/A,N/A,0,0,E,2,N/A,CAR,LWO,"Kingston, Jamaica"
1896,15 Jun,10:33:00,39.6,144.2,30,7.4,8.6,3.8,38.2,5.3,62,L,E,4,N/A,JAP,LLK,"Sanriku,Japan"
1896,10 Oct,00:00:00,-3.5,102.5,130,6.8,N/A,N/A,N/A,N/A,0,0,E,2,N/A,IND,SG1,SW. SUMATRA
1896,16 Oct,06:15:00,43.7,8.1,N/A,N/A,N/A,1.0,N/A,2.0,0,0,E,1,N/A,MED,SO1,N/A
1896,05 Nov,02:50:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,3,N/A,MED,PAP,"Zante, Ionian Sea"
1896,17 Dec,00:00:00,35.0,-120.0,N/A,N/A,N/A,1.5,2.5,1.5,1,S,M,0,N/A,CAM,LLK,"SANTA BARBARA, CALIFORNIA"
1897,19 Feb,21:50:00,38.1,141.9,N/A,7.8,N/A,N/A,1.0,N/A,4,S,E,4,N/A,JAP,IID,Off Miyagi Pref.. Japan(SENDAI
1897,15 Mar,00:00:00,-6.8,120.8,15,5.5,N/A,1.0,N/A,N/A,0,0,E,3,N/A,IND,SG1,"FLORES SEA, INDONESIA"
1897,17 Apr,00:00:00,60.38,-146.43,N/A,N/A,N/A,N/A,N/A,N/A,1,0,U,3,N/A,A-A,LA1,"Hinchinbrook Is., Alaska"
1897,20 Jun,00:00:00,16.0,-95.0,N/A,7.0,N/A,N/A,N/A,N/A,0,0,E,2,N/A,CAM,SG2,S. MEXICO
1897,05 Aug,00:12:00,38.3,143.3,60,7.7,7.8,1.0,3.0,2.0,35,M,E,4,N/A,JAP,IID,Off Miyagi Pref..Japan(SANRIKU
1897,20 Sep,19:06:00,6.0,122.0,60,7.4,N/A,N/A,N/A,N/A,0,0,E,1,N/A,PHI,WWT,NEW ZEALAND
1897,21 Sep,05:12:00,6.0,122.0,60,8.5,N/A,2.5,6.0,1.0,4,M,E,4,N/A,PHI,SG1,"PHILIPPINES:  W.MINDANAO,SULU,"
1897,21 Sep,05:15:00,7.1,122.1,N/A,8.7,N/A,1.0,N/A,N/A,0,0,E,1,N/A,PHI,SG1,SULU SEA
1897,21 Sep,07:14:00,-41.37,174.82,N/A,N/A,N/A,0.0,1.0,N/A,1,0,E,2,N/A,NZT,FRA,"Wellington, New zealand"
1897,12 Oct,00:00:00,11.2,125.0,N/A,N/A,N/A,1.5,N/A,N/A,0,0,U,3,N/A,PHI,SG1,"Takloban, Philippines"
1897,19 Oct,07:15:00,6.5,122.0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,0,N/A,PHI,SGN,PHILIPPINES:  MINDANAO:  ZAMBO
1897,30 Nov,00:00:00,N/A,N/A,N/A,N/A,N/A,1.0,N/A,2.0,0,0,E,2,N/A,MED,PAP,"Kefalinia, Ionian Sea"
1897,29 Dec,06:32:00,19.8,-70.7,N/A,N/A,N/A,1.0,N/A,N/A,0,0,E,2,N/A,CAR,LWO,"Hispaniola, Purto Playa"
1898,31 Mar,07:43:00,38.2,-122.4,N/A,6.2,N/A,N/A,N/A,2.0,1,0,M,2,N/A,CAM,LLK,"OAKLAND, CALIF."
1898,22 Apr,23:37:00,39.4,143.6,30,7.4,6.7,-2.0,N/A,-1.0,1,N,E,4,N/A,JAP,IID,Off Miyagi Pref..Japan(SANRIKU
1898,23 Apr,08:37:00,39.5,43.6,N/A,7.8,N/A,N/A,N/A,N/A,0,0,E,4,N/A,MED,SO1,N/A
1898,02 Jun,21:40:00,37.6,22.3,N/A,7.0,N/A,2.0,N/A,3.0,0,0,E,3,N/A,MED,PAP,Corinthos Gulf
1898,23 Jul,00:00:00,-37.0,-74.0,N/A,6.5,N/A,N/A,N/A,N/A,0,N,E,2,N/A,SAM,LOC,SC. CHILE
1898,03 Dec,05:50:30,37.75,21.0,N/A,6.1,N/A,1.0,N/A,2.0,0,0,E,2,N/A,MED,PAP,"Zante, Ionian Sea"
